기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2037/10/20,92.73,92.73,92.07,77.76,79.4,92.21,92.73,92.66,92.73,92.73,92.73,92.52,87.04,92.66,101.22,101.34,109.09,108.58,109.15,109.15,101.7,101.75,100.72,100.72,109.15,77.76,96.72
2037/10/19,100.85,92.95,92.56,85.47,85.64,92.7,158.07,93.02,101.26,110.96,112.04,112.03,110.89,101.75,101.35,101.36,101.36,101.99,139.29,139.29,102.23,99.11,93.02,93.02,158.07,85.47,105.7
2037/10/18,116.77,104.4,104.46,98.74,104.46,104.46,104.77,105.64,141.78,154.67,154.67,152.44,138.17,153.79,154.02,154.02,154.02,153.57,154.15,160.26,160.26,105.58,105.37,105.11,160.26,98.74,133.97
2037/10/17,101.52,92.34,92.29,92.27,92.34,100.76,101.05,125.6,138.75,153.93,153.93,153.87,153.41,153.87,153.87,157.02,157.02,156.21,156.94,156.94,156.94,156.94,105.24,105.24,157.02,92.27,135.37
2037/10/16,100.68,92.35,92.35,92.14,92.35,106.1,106.97,116.76,138.66,138.68,158.6,138.67,133.51,138.67,138.67,138.67,154.13,156.26,157.34,157.34,153.23,153.99,153.99,106.97,158.6,92.14,132.95
2037/10/15,105.26,104.02,104.02,100.48,100.48,104.64,105.11,119.52,139.78,139.64,139.66,153.37,120.39,153.37,153.82,155.18,156.96,156.96,157.1,155.43,155.43,134.93,134.93,129.17,157.1,100.48,134.95
2037/10/14,100.91,92.02,86.58,86.58,86.58,86.58,92.74,105.19,137.39,161.25,140.64,140.63,137.7,140.52,140.57,155.97,155.97,154.79,140.64,137.7,137.16,136.67,130.5,105.28,161.25,86.58,127.53
2037/10/13,103.27,99.54,91.83,83.33,92.33,105.76,108.25,105.25,92.37,92.52,92.52,92.38,92.22,92.45,92.29,92.51,92.51,101.67,105.94,105.95,105.88,103.12,103.12,101.9,108.25,83.33,98.05
2037/10/12,105.62,103.11,103.41,103.44,103.44,103.36,105.62,100.48,100.2,100.24,106.59,106.58,106.44,105.67,100.09,105.82,105.88,106.6,107.29,107.36,107.36,106.72,106.72,106.72,107.36,100.09,104.94
2037/10/11,105.18,105.04,105.08,104.64,105.01,105.49,105.35,106.21,137.96,141.15,141.15,140.95,140.81,141.13,120.92,154.44,155.55,137.96,137.95,134.35,134.35,136.86,126.87,106.13,155.55,104.64,127.84
2037/10/10,102.43,92.04,92.09,77.02,77.02,92.54,95.66,100.75,128.48,140.26,140.25,140.2,134.76,140.23,140.23,140.02,140.09,140.24,157.27,157.27,134.54,129.37,124.12,111.07,157.27,77.02,124.42
2037/10/09,100.32,99.84,99.16,95.03,98,98.76,100.39,100.67,121.48,138.97,138.97,142.14,138.88,138.85,139.4,151.88,138.97,138.75,139.38,139.4,134.6,129.82,127.37,105.51,151.88,95.03,124.74
2037/10/08,105.11,104.26,104.26,103.64,104.03,104.26,104.69,129.58,138.66,138.65,135.45,135.31,122.21,135.07,135.51,140.55,140.55,140.55,140.55,135.53,129.58,128.3,120.43,114.34,140.55,103.64,126.07
2037/10/07,92.47,92.47,92.2,91.96,92.26,92.24,97.64,100.67,160.52,160.52,141.26,141.11,137.92,139.2,139.23,139.16,139.27,139.27,139.06,139.26,138.36,134.48,120.89,114.68,160.52,91.96,126.44
2037/10/06,83.42,79.1,77.26,76.01,76.01,77.73,78.46,76.01,76.01,76.01,92.66,92.89,93.34,101.96,102.02,101.58,101.71,102.03,102.04,102.05,102.05,101.76,93.35,93.25,102.05,76.01,90.95
2037/10/05,100.35,95.45,92.23,84.94,95.28,95.33,98.63,96.09,101.49,101.14,101.25,137.05,100.91,100.9,100.78,100.99,100.91,101.31,105.75,105.75,105.75,105.67,101.73,101.73,137.05,84.94,101.78
2037/10/04,100.68,78.12,78.12,78.12,78.12,78.24,92.72,105.97,123.46,136.94,139.28,136.94,127.13,127.69,130.36,130.36,139.44,139.44,136.94,128.58,105.93,100.96,100.96,100.76,139.44,78.12,114.61
2037/10/03,92.46,92.4,91.88,87.04,91.66,92.4,92.46,101.05,123.06,137.43,140.72,140.08,135.61,135.6,135.61,135.61,129.06,120.8,121.16,106.16,106.16,101.05,101.06,100.64,140.72,87.04,114.18
2037/10/02,105.41,98.22,98.22,98.32,98.32,103.6,105.41,129.24,139.3,152.32,152.32,139.28,137.89,139.25,139.27,141.38,141.38,141.38,144.08,144.08,135.44,128.59,128.3,113.21,152.32,98.22,128.86
2037/10/01,106.02,95.8,95.5,92.19,95.5,95.89,106.03,137.32,137.36,139.92,140.32,140.33,140.16,140.33,140.32,140.33,140.33,139.32,139.92,139.92,137.36,137.32,128.91,107.21,140.33,92.19,127.3
2037/09/30,107.11,92.82,92.5,92.21,92.41,92.73,106.4,106.9,142.73,142.76,145.72,145.7,142.75,149.89,149.89,149.89,149.89,145.72,215.53,146.88,146.21,139.3,141.64,147.25,215.53,92.21,135.79
2037/09/29,106.35,92.55,92.55,92.55,92.33,92.55,92.55,104.13,105.27,107.71,107.71,107.65,107.65,107.65,107.65,116.06,116.06,145.61,146.02,146.22,142.05,116.2,107.71,107.71,146.22,92.33,112.68
2037/09/28,114.2,107.21,107.22,106.77,106.32,107.02,107.22,107.21,107.18,132.33,140.72,139.97,139.77,141.74,152.33,146.93,146.93,215.53,146.94,144.72,144.51,141.38,215.53,107.19,215.53,106.32,137.14
2037/09/27,106.69,106.7,106.7,106.34,106.57,106.72,131.93,156,218.5,144.27,152.82,149.09,144.06,152.2,149.68,147.2,146.84,146.84,162.22,162.22,162.22,161.17,136.64,130.21,218.5,106.34,143.88
2037/09/26,106.93,106.94,106.53,105.24,106.42,106.86,106.95,156.6,156.46,156.47,156.47,146.71,146.49,146.71,146.7,144.25,144.25,209.35,146.82,167.19,167.19,144.89,139.19,106.95,209.35,105.24,141.67
2037/09/25,215.53,107.43,106.43,106.2,106.17,106.4,107.44,158.06,131.78,144.32,144.58,144.56,144.45,144.58,147.07,160.34,160.34,147.21,167.31,159.1,140.36,160.84,133.66,216.05,216.05,106.17,145.79
2037/09/24,107.11,107.12,105.88,105.54,105.68,106.74,107.14,107.11,145.52,215.53,215.53,149.34,146.78,149.31,149.31,149.31,161.02,221.13,221.13,221.13,216.54,161.58,138.4,158.26,221.13,105.54,158.88
2037/09/23,131.98,128.96,128.96,128.96,128.96,106.57,128.96,141.99,142.65,147.22,147.67,147.58,147.6,153.67,163.31,158.02,158.02,158.02,158.52,158.52,158.1,157.27,158.11,158.52,163.31,106.57,147.75
2037/09/22,137.35,115.03,111.72,111.72,111.72,111.72,113.26,140.39,143.63,143.63,143.63,144.36,159.48,159.85,144.38,165.23,163.47,163.47,163.86,160.35,159.51,158.68,142.04,138.97,165.23,111.72,144.44
2037/09/21,142.31,137.52,137.46,107.06,107.06,107.06,107.05,141.94,147.92,149.8,152.75,150.44,144.99,144.99,144.99,142.94,142.88,142.94,164.06,164.06,162.55,142.77,142.76,142.94,164.06,107.05,142.26
2037/09/20,155.99,145.53,145.53,129.58,132.35,0,141.23,146.39,154.69,159.67,159.71,160.19,160.19,160.19,160.19,163.3,163.3,163.3,163.87,160.75,160.75,158.5,158.5,145.74,163.87,0,151.01
2037/09/19,107.03,107.03,106.65,106.38,106.38,106.49,107.03,131.15,143.01,147.56,147.99,147.29,147.29,150.24,150.24,198.52,159.68,159.68,160.18,160.18,146.04,145.73,139.49,135.82,198.52,106.38,142.47
2037/09/18,215.31,107.27,106.58,106.58,106.58,106.82,210.18,215.41,115.28,137.29,137.95,140.15,140.05,140.05,140.05,147.45,147.45,147.45,215.53,215.53,147.43,141.16,133,147.43,215.53,106.58,150.4
2037/09/17,106.76,104.79,99.89,99.89,99.89,99.89,105.06,106.11,107.12,107.13,107.96,107.92,107.92,115.7,115.7,137.89,137.87,141.95,165.22,142.1,148.68,137.85,133,107.96,165.22,99.89,120.53
2037/09/16,114.47,107.54,106.62,106.62,106.56,106.62,107.54,107.54,107.49,107.49,141.41,140.17,140.07,140.07,141.62,147.75,147.75,147.75,147.76,215.53,147.42,137.9,137.3,147.42,215.53,106.56,133.87
2037/09/15,144.99,107.11,107.11,107.11,107.11,107.11,107.11,147.57,147.2,138.39,138.19,140.86,144.27,146.18,146.18,150.01,150.01,150.01,215.88,150.27,147.36,146.45,140.08,138.6,215.88,107.11,140.5
2037/09/14,170.14,143.77,137.95,137.72,134.55,134.55,144.83,144.83,145.15,149.05,149.05,148.84,148.84,151.7,150.34,148.84,148.84,146.91,159.89,160.05,160.22,160.22,146.06,142.55,170.14,134.55,149.23
2037/09/13,157.84,146.53,138.08,138.08,138.08,142.26,144.47,144.47,146.59,151.34,159.29,159.29,159.29,159.29,159.29,159.29,159.29,162.45,229.87,162.73,162.73,160.22,159.79,158.12,229.87,138.08,158.45
2037/09/12,146.28,138.39,138.2,137.35,137.35,138.2,143.14,143.14,145.34,154.38,156.41,157.56,157.56,157.56,161.71,208.06,166.78,160.44,160.99,215.53,160.99,160.99,158.06,158.06,215.53,137.35,159.06
2037/09/11,144.54,141.47,141.49,135.42,134.72,141.5,141.5,145.18,145.78,154.2,156.23,158.84,158.85,158.42,158.42,160.47,160.57,160.04,215.53,160.18,158.92,158.92,145.78,143.09,215.53,134.72,155.22
2037/09/10,146.53,137.23,132.83,129.21,129.08,137.69,138.73,144.96,143.08,149.31,158.5,158,158,158,159.03,173.95,175.23,161.34,161.9,161.9,158.5,158.5,158.5,143.06,175.23,129.08,153.35
2037/09/09,137.22,106.88,106.88,106.88,106.88,106.88,139.97,142.46,146.35,151.19,159.53,156.09,148.71,156.98,160.19,160.19,159.36,161.09,172.94,161.37,161.64,161.64,160.36,141.93,172.94,106.88,148.16
2037/09/08,138.14,129.68,111.89,111.89,111.89,111.89,111.89,115.19,115.19,140.37,140.37,141.35,143.91,141.34,143.19,160.37,160.37,163.51,163.51,163.78,163.78,162.05,161.38,160.76,163.78,111.89,143
2037/09/07,140.29,139.33,114.36,112.62,114.13,114.36,144.26,143.65,143.03,148.01,147.96,149.97,147.91,159.6,159.6,159.6,163.08,163.08,163.64,163.64,163.03,162.41,162.41,158.05,163.64,112.62,149.59
2037/09/06,140.07,106.84,106.84,106.84,106.84,106.84,142.39,143.91,146.76,149.69,150.29,151.94,148.6,154.5,156.48,159.66,159.66,162,162.56,162.56,162.56,160.72,159.19,158.79,162.56,106.84,147.3
2037/09/05,137.56,106.85,106.85,106.7,106.86,106.86,106.85,142.63,145.3,145.54,145.54,146.2,145.51,150.69,150.69,152.93,152.93,160.7,161.03,161.03,161.03,161.03,161.03,140.15,161.03,106.7,142.95
2037/09/04,107.06,107.07,106.74,106.33,106.07,106.97,134.88,145.44,145.91,148.78,148.75,149.15,148.72,151.11,151.08,150.99,161.09,161.09,161.43,161.43,161.43,160.66,160.66,140.82,161.43,106.07,144.14
2037/09/03,137.5,106.86,106.86,106.57,106.82,106.87,134.71,145.28,145.49,146.07,160.26,159.93,159.93,159.93,159.93,159.93,159.93,162.32,162.87,162.87,162.26,162.26,159.86,140.44,162.87,106.57,147.75
2037/09/02,106.87,106.86,106.74,106.76,106.74,106.86,106.86,142.34,146.4,220.22,161.01,158.82,158.79,160.45,160.45,162.43,160.45,160.45,161.01,161.01,161.01,161.01,161.01,139.96,220.22,106.74,149.42
