기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2025/09/22,75.77,71.68,71.68,71.68,71.68,71.68,71.92,75.79,120.65,121.55,132.38,120.65,126.59,130.16,120.65,124.19,120.65,122.61,126.13,126.13,126.13,120.65,118.7,92.71,132.38,71.68,108.84
2025/09/21,74.6,71.03,70.24,70.24,70.24,71.03,71.03,71.03,69.73,67.63,119.41,119.41,93.77,117.45,117.45,117.45,93.83,115.89,105.91,105.87,117.45,93.84,93.4,84.89,119.41,67.63,93.68
2025/09/20,77.31,74.29,74.29,74.29,74.29,74.29,74.29,74.29,74.29,120.95,120.95,163.82,141.42,71.63,71.63,74.29,74.29,74.62,110.44,110.43,85.66,85.66,85.66,85.66,163.82,71.63,91.17
2025/09/19,78.18,74.4,74.4,74.4,74.4,74.4,91.97,117.63,121.43,130.89,131.23,130.52,130.02,128.24,162.72,138.46,138.46,125.98,125.98,125.98,121.43,109.52,109.52,117.58,162.72,74.4,116.52
2025/09/18,76.77,73.74,71.52,71.52,71.52,71.52,74.27,93.93,122.94,129.8,129.62,193.74,129.56,129.56,129.56,129.56,129.62,129.8,129.92,129.92,130.45,123,123,113.06,193.74,71.52,116.98
2025/09/17,93.49,75.1,74.92,75.58,74.92,75.58,91.74,123.87,133.68,163.83,142.35,137.19,137.19,137.19,137.19,143.71,137.19,137.19,137.36,137.75,137.75,129.61,125.83,93.84,163.83,74.92,123.02
2025/09/16,123.91,73.71,73.71,73.71,73.71,73.71,91.81,92.74,125.86,139.52,139.5,133.12,133.12,133.12,140.35,141.02,141.02,138.81,139.1,139.1,139.1,139.1,139.1,139.1,141.02,73.71,123.72
2025/09/15,71.8,71.32,71.32,71.32,71.32,71.32,72.08,127.09,127.09,137.4,137.4,137.15,136.79,136.79,136.79,136.79,136.79,136.79,137.79,137.4,137.4,130.63,127.09,92.6,137.79,71.32,118.31
2025/09/14,77.23,75.68,71.86,70.76,70.76,70.76,71.86,71.86,70.76,93.59,101.14,101.12,101.12,101.12,101.11,101.12,101.13,101.14,101.15,101.15,100.82,96.08,93.19,85.51,101.15,70.76,90.26
2025/09/13,90.89,74.54,71.63,71.63,71.63,71.63,71.63,71.63,77.08,137.59,139,163.42,102.82,137.96,139,139,139,139,139,139,139,125.69,89.87,84.23,163.42,71.63,113.18
2025/09/12,92.4,74.49,74.49,74.49,74.49,74.49,75.2,126.12,126.12,133.79,133.73,133.55,133.55,133.37,141.51,154.68,143.65,133.79,133.79,133.97,134.09,131.54,126.12,124.08,154.68,74.49,121.35
2025/09/11,93.67,75.61,74.19,74.19,74.19,74.19,76.98,125.32,127.27,127.27,132.48,125.32,125.32,134.16,133.98,134.16,127.28,134.28,134.52,134.71,134.89,127.27,125.32,115.53,134.89,74.19,117.8
2025/09/10,120.49,74.76,74.04,74.04,74.04,74.04,91.66,120.49,122.44,129.88,129.69,129.63,129.45,129.33,129.33,129.33,129.82,129.85,131.91,131.91,130.12,130.3,123.97,93.69,131.91,74.04,117.31
2025/09/09,93.49,75.57,75.22,75.57,74.91,74.91,92.36,125.21,131.08,139.93,139.93,137.67,137.67,137.67,132.22,132.22,138.46,138.46,132.64,132.88,139.46,133.06,132.11,123.26,139.93,74.91,122.61
2025/09/08,71.6,71.28,71.31,71.28,71.28,71.28,71.6,123.68,129.55,133.13,133.13,133.13,132.35,132.35,132.35,145.87,140.09,137.84,140.57,140.57,138.18,138.18,133.13,123.68,145.87,71.28,120.77
2025/09/07,131.38,76.06,74.64,74.78,74.51,73.92,73.92,73.92,74.73,136.93,94.13,137.09,138.89,138.89,138.89,138.89,138.89,138.89,138.89,138.89,138.89,138.89,136.93,93.54,138.89,73.92,117.03
2025/09/06,130.18,98.87,91.81,91.81,91.81,91.81,91.81,91.95,125.1,134.96,131.62,134.9,134.72,134.72,133.39,129.67,140.92,139.82,140.2,140.2,135.14,137.29,127.72,123.99,140.92,91.81,124.79
2025/09/05,138.4,91.56,91.5,91.5,91.5,121.15,121.15,122.28,130.54,130.3,130.12,130,135.72,139.28,139.38,139.26,139.28,130.24,138.38,137.38,130.3,130.36,130.54,126.62,139.38,91.5,127.49
2025/09/04,123.71,92.21,87.43,88.09,88.09,88.09,121.75,121.75,131.38,131.32,131.32,131.14,130.96,130.96,130.96,130.9,137.73,130.9,138.5,138.5,138.5,131.32,131.17,127.24,138.5,87.43,124.88
